Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Occurrence
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,89689,180159,Active,Spermophilus spilosoma,Spotted Ground Squirrel,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,89694,180163,Active,Spermophilus variegatus,Rock Squirrel,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,90651,180193,Active,Tamias dorsalis,cliff chimunk,Eutamias dorsalis,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,90653,180195,Active,Tamias minimus,Least Chipmunk,Eutamias minimus,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,90661,180201,Active,Tamias quadrivittatus,Colorado Chipmunk,,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,90669,180209,Active,Tamias umbrinus,Uinta chipmunk,Eutamias umbrinus,Present
GRCA,Grand Canyon National Park,Mammal,1,Rodentia,Sciuridae,89697,180166,Active,Tamiasciurus hudsonicus,Red Squirrel,,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,79769,174202,Active,Arizona elegans,Glossy Snake,,Probably Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,79719,174158,Active,Diadophis punctatus,"Ringneck Snake, Ring-necked Snake",,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,79803,174233,Active,Hypsiglena torquata,"Night Snake, Nightsnake","Leptodeira torquata, Hypsiglena torquata texana, Hypsiglena texana",Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,122635,209247,Active,Lampropeltis getula,Common Kingsnake,Lampropeltis getulus,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,122636,209248,Active,Lampropeltis getula californiae,California Kingsnake,,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,79757,174192,Active,Lampropeltis pyromelana,Sonoran Mountain Kingsnake,Ophibolus pyromelanus,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,79808,174238,Active,Masticophis flagellum,Coachwhip,Coluber flagellum,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,79811,174240,Active,Masticophis taeniatus,Striped Whipsnake,Leptophis taeniata,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,117240,209400,Active,Pituophis catenifer,"Bullsnake, Gopher Snake",Coluber catenifer,Present
GRCA,Grand Canyon National Park,Reptile,3,Squamata,Colubridae,117242,209402,Active,Pituophis catenifer affinis,Sonoran Gopher Snake,"Pituophis melanoleucus affinis, Pituophis affinis",Present
